Nome,Endereço,Localização,Foto
Bebedouro São Jorge,Av. da Liberdade (junto ao Pático da Água),38° 43' 2.19'' N | 9° 8' 32.84'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_sao_jorge.jpg
Bebedouro EPAL,Av. da Liberdade (junto ao Pátio da Água),38° 43' 2.19'' N | 9° 8' 32.84'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouroAvLiberdade_ALA_2190.jpg
Bebedouro Tivoli,Av. da Liberdade (junto ao Teatro Tivoli BBVA),38° 43' 13.25'' N | 9° 8' 42.97'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_tivoli.jpg
Bebedouro Av. República,Av. Duque de Ávila,38° 44' 6.95'' N | 9° 8' 41.03'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_duque_avila.jpg
Bebedouro Avenida Julio Dinis,Av. Julio Dinis,38° 44' 32.02'' N | 9° 8' 53.13'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_julio_dinis.jpg
Bebedouro Cais do Sodré,"Cais do Sodré, Estação de comboios",38° 42' 22.37'' N | 9° 8' 39.80'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_cais_sodre.jpg
Bebedouro Campo Grande,Campo Grande 27 (Edifício CML),38° 44' 58.79'' N | 9° 9' 1.49'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_campo_grande.jpg
Bebedouro Cidade Universitária,Campo Grande (junto à Igreja Paroquial dos Santos Reis Magos),38° 45' 17.22'' N | 9° 9' 16.43'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_cidade_universitaria.JPG
Bebedouro Edifício NOS,Campo Grande (junto à estação de metro),38° 45' 34.51'' N | 9° 9' 24.84'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_NOS.jpg
Bebedouro Campo Pequeno,Av. da República/Av. João XXI (Jardim),38° 44' 29.49'' N | 9° 8' 46.56'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_campo_pequeno.jpg
Bebedouro Carnide,Estrada da Correia,38° 45' 37.05'' N | 9° 11' 40.22'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_carnide.JPG
Bebedouro de Belém,Rua dos Jerónimos,38° 41' 54.25'' N | 9° 12' 21.83'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_belem.JPG
Bebedouro Entrecampos,Av. 5 de Outubro (junto à Teleperfomance Portugal),38° 44' 37.62'' N | 9° 8' 56.96'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_entrecampos.JPG
Bebedouro Marquês de Pombal,Parque Eduardo VII,38° 43' 33.53'' N | 9° 9' 4.02'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_marques_pombal.jpg
Bebedouro Martim Moniz,Praça Martim Moniz/Escadinhas da Saúde,38° 42' 55.75'' N | 9° 8' 8.74'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_martim_moniz.jpg
Bebedouro Parque das Nações,Alameda dos Oceanos (FIL),38° 46' 5.29'' N | 9° 5' 38.12'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_parque_nacoes_1.JPG
Bebedouro Oriente,Gare do Oriente,38° 46' 4.15'' N | 9° 5' 53.01'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_parque_nacoes.JPG
Bebedouro Ribeira das Naus,Av. Ribeira das Naus,38° 42' 20.29'' N | 9° 8' 27.93'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_ribeira_naus.jpg
Bebedouro Rossio,Praça Dom Pedro IV (Rua Augusta),38° 42' 48.12'' N | 9° 8' 19.33'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_rossio.jpg
Bebedouro Rua Viriato,Rua Viritato (Maternidade Alfredo da Costa),38° 43' 57.06'' N | 9° 8' 51.29'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_maternidade.jpg
Bebedouro Saldanha,Praça Duque de Saldanha,38° 44' 2.68'' N | 9° 8' 43.57'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_saldanha.jpg
Bebedouro Santa Apolónia,Rua Caminhos de Ferro,38° 42' 48.30'' N | 9° 7' 23.34'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_santa_apolonia.jpg
Bebedouro Terreiro Paço,Avenida Infante Dom Henrique,38° 42' 25.53'' N | 9° 8' 0.19'' W,https://informacoeseservicos.lisboa.pt/fileadmin/espacos/imagens/bebedouro_praca_comercio.jpg
